function_name,basicblock_id,number_of_instructions,instructions
lua_settop,BB#1,10,"renamable $rax = MOV64rm renamable $rdi, 1, $noreg, 32, $noreg :: (load (s64) from %ir.5, !tbaa !3); renamable $edx = MOV32rr killed renamable $esi, implicit-def $rdx; renamable $rdx = SHL64ri killed renamable $rdx(tied-def 0), 4, implicit-def dead $eflags; renamable $rdx = ADD64rm killed renamable $rdx(tied-def 0), killed renamable $rax, 1, $noreg, 0, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.6, !tbaa !12); renamable $rdx = SUB64rm killed renamable $rdx(tied-def 0), renamable $rdi, 1, $noreg, 16, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.11, !tbaa !12); renamable $rdx = ADD64ri32 killed renamable $rdx(tied-def 0), 16, implicit-def dead $eflags; renamable $rcx = COPY renamable $rdx; renamable $rcx = exact SAR64ri killed renamable $rcx(tied-def 0), 4, implicit-def dead $eflags; TEST64rr killed renamable $rdx, renamable $rdx, implicit-def $eflags; JCC_1 %bb.5, 14, implicit $eflags"
lua_settop,BB#2,4,"TEST64rr renamable $rcx, renamable $rcx, implicit-def $eflags; renamable $rax = MOV32ri64 1; renamable $rax = CMOV64rr killed renamable $rax(tied-def 0), renamable $rcx, 14, implicit killed $eflags; renamable $rcx = nsw INC64r killed renamable $rcx(tied-def 0), implicit-def dead $eflags"
lua_settop,BB#3,7,"renamable $rdx = MOV64rm renamable $rdi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.23, !tbaa !12); renamable $rsi = LEA64r renamable $rdx, 1, $noreg, 16, $noreg; MOV64mr renamable $rdi, 1, $noreg, 16, $noreg, killed renamable $rsi :: (store (s64) into %ir.23, !tbaa !12); MOV8mi killed renamable $rdx, 1, $noreg, 8, $noreg, 0 :: (store (s8) into %ir.26, align 8, !tbaa !12); renamable $rcx = nsw DEC64r killed renamable $rcx(tied-def 0), implicit-def dead $eflags; CMP64ri32 renamable $rcx, 1, implicit-def $eflags; JCC_1 %bb.3, 15, implicit killed $eflags"
lua_settop,BB#4,2,"renamable $rax = nsw DEC64r killed renamable $rax(tied-def 0), implicit-def dead $eflags; renamable $rcx = COPY killed renamable $rax"
lua_settop,BB#5,5,"renamable $rax = COPY renamable $rcx; renamable $rax = SHL64ri killed renamable $rax(tied-def 0), 4, implicit-def dead $eflags; renamable $rax = ADD64rm killed renamable $rax(tied-def 0), renamable $rdi, 1, $noreg, 16, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.36, !tbaa !12); TEST64rr killed renamable $rcx, renamable $rcx, implicit-def $eflags; JCC_1 %bb.8, 9, implicit $eflags"
lua_settop,BB#6,2,"CMP64mr renamable $rdi, 1, $noreg, 64, $noreg, renamable $rax, implicit-def $eflags :: (load (s64) from %ir.41, !tbaa !12); JCC_1 %bb.8, 2, implicit $eflags"
lua_settop,BB#7,6,"renamable $rbx = COPY renamable $rdi; $rsi = COPY killed renamable $rax; $edx = MOV32ri -1; $ecx = MOV32r0 implicit-def dead $eflags; CALL64pcrel32 @luaF_close, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit $edx, implicit $ecx, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; renamable $rdi = COPY killed renamable $rbx"
lua_settop,BB#8,4,"MOV64mr killed renamable $rdi, 1, $noreg, 16, $noreg, killed renamable $rax :: (store (s64) into %ir.48, !tbaa !12); $rbx = frame-destroy POP64r implicit-def $rsp, implicit $rsp; frame-destroy CFI_INSTRUCTION def_cfa_offset 8; RET 0"
lua_settop,BB#9,3,"renamable $esi = nsw INC32r killed renamable $esi(tied-def 0), implicit-def dead $eflags; renamable $rcx = MOVSX64rr32 killed renamable $esi; JMP_1 %bb.5"
lua_closeslot,BB#0,2,"TEST32rr renamable $esi, renamable $esi, implicit-def $eflags; JCC_1 %bb.2, 14, implicit killed $eflags"
