function_name,basicblock_id,has_tracing_call,number_of_instructions,instructions
hwt_perf_init_collector,BB#17,false,2,"CMP32mi renamable $r14, 1, $noreg, 0, $noreg, 0, implicit-def $eflags :: (load (s32) from %ir.1); JCC_1 %bb.20, 5, implicit $eflags"
hwt_perf_init_collector,BB#18,false,3,"CALL64pcrel32 target-flags(x86-plt) @__errno_location, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; renamable $ecx = MOV32rm killed renamable $rax, 1, $noreg, 0, $noreg :: (load (s32) from %ir.91); renamable $eax = MOV32ri 2"
hwt_perf_init_collector,BB#19,false,2,"MOV32mr renamable $r14, 1, $noreg, 0, $noreg, killed renamable $eax :: (store (s32) into %ir.1); MOV32mr renamable $r14, 1, $noreg, 4, $noreg, killed renamable $ecx :: (store (s32) into %ir.96)"
hwt_perf_init_collector,BB#20,false,2,"CALL64pcrel32 target-flags(x86-plt) @close, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $edi, implicit-def $rsp, implicit-def $ssp, implicit-def dead $eax; renamable $ebp = MOV32ri -1, implicit-def $rbp"
hwt_perf_init_collector,BB#22,false,3,"CALL64pcrel32 target-flags(x86-plt) @fclose, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit-def $rsp, implicit-def $ssp, implicit-def $eax; CMP32ri killed renamable $eax, -1, implicit-def $eflags; JCC_1 %bb.27, 5, implicit killed $eflags"
hwt_perf_init_collector,BB#23,false,2,"CMP32mi renamable $r14, 1, $noreg, 0, $noreg, 0, implicit-def $eflags :: (load (s32) from %ir.1); JCC_1 %bb.25, 5, implicit $eflags"
hwt_perf_init_collector,BB#24,false,4,"CALL64pcrel32 target-flags(x86-plt) @__errno_location, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; renamable $eax = MOV32rm killed renamable $rax, 1, $noreg, 0, $noreg :: (load (s32) from %ir.109), (load (s32) from %ir.120), (load (s32) from %ir.195), (load (s32) from %ir.148); MOV32mi renamable $r14, 1, $noreg, 0, $noreg, 2 :: (store (s32) into %ir.1); MOV32mr killed renamable $r14, 1, $noreg, 4, $noreg, killed renamable $eax :: (store (s32) into %ir.111), (store (s32) into %ir.122), (store (s32) into %ir.197), (store (s32) into %ir.150)"
hwt_perf_init_collector,BB#25,false,1,"CALL64pcrel32 target-flags(x86-plt) @free, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit-def $rsp, implicit-def $ssp"
hwt_perf_init_collector,BB#26,false,1,JMP_1 %bb.44
hwt_perf_init_collector,BB#27,false,3,"MOV32mr renamable $rbx, 1, $noreg, 24, $noreg, renamable $ebp :: (store (s32) into %ir.114, align 8, !tbaa !11); CMP32ri renamable $ebp, -1, implicit-def $eflags; JCC_1 %bb.23, 4, implicit $eflags"
hwt_perf_init_collector,BB#28,false,2,"MOV32mr renamable $r15, 1, $noreg, 0, $noreg, renamable $ebp :: (store (s32) into %ir.22, align 8); JMP_1 %bb.30"
hwt_perf_init_collector,BB#29,false,1,"MOV32mr renamable $rbx, 1, $noreg, 24, $noreg, renamable $ebp :: (store (s32) into %ir.125, align 8, !tbaa !11)"
hwt_perf_init_collector,BB#30,false,9,"CALL64pcrel32 target-flags(x86-plt) @getpagesize, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit-def $rsp, implicit-def $ssp, implicit-def $eax; renamable $r13 = MOV64rm renamable $r12, 1, $noreg, 0, $noreg :: (load (s64) from %ir.0); renamable $r13 = INC64r killed renamable $r13(tied-def 0), implicit-def dead $eflags; renamable $r14 = MOVSX64rr32 killed renamable $eax; renamable $r13 = IMUL64rr killed renamable $r13(tied-def 0), renamable $r14, implicit-def dead $eflags; renamable $r14 = IMUL64rm killed renamable $r14(tied-def 0), killed renamable $r12, 1, $noreg, 8, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.133); renamable $rax = MOV64rm renamable $r15, 1, $noreg, 24, $noreg :: (load (s64) from %ir.136); TEST64rr renamable $rax, renamable $rax, implicit-def $eflags; JCC_1 %bb.34, 5, implicit killed $eflags"
hwt_perf_init_collector,BB#31,false,7,"MOV64mr renamable $rbx, 1, $noreg, 56, $noreg, renamable $r13 :: (store (s64) into %ir.140, !tbaa !35); $edx = MOV32ri 2; $ecx = MOV32ri 1; CALL64pcrel32 target-flags(x86-plt) @mmap, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit $edx, implicit $ecx, implicit $r8d, implicit $r9, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; MOV64mr renamable $rbx, 1, $noreg, 48, $noreg, renamable $rax :: (store (s64) into %ir.142, !tbaa !36); CMP64ri32 renamable $rax, -1, implicit-def $eflags; JCC_1 %bb.33, 5, implicit killed $eflags"
hwt_perf_init_collector,BB#32,false,2,"renamable $r14 = MOV64rm $rsp, 1, $noreg, 8, $noreg :: (load (s64) from %stack.6); JMP_1 %bb.23"
